epoch,accuracy,loss,val_accuracy,val_loss
0,0.30067113041877747,2.0273382663726807,0.2568306028842926,3.9374947547912598
1,0.3530201315879822,1.809794306755066,0.2568306028842926,5.569296836853027
2,0.3731543719768524,1.7826488018035889,0.3060109317302704,6.323658466339111
3,0.3704698085784912,1.740240454673767,0.3060109317302704,6.314693450927734
4,0.3986577093601227,1.6145291328430176,0.3060109317302704,6.272705554962158
5,0.34765100479125977,1.729526400566101,0.3060109317302704,5.677902698516846
6,0.4093959629535675,1.5557332038879395,0.2568306028842926,6.861181259155273
7,0.38523489236831665,1.6330798864364624,0.2732240557670593,5.004512310028076
8,0.4053691327571869,1.6170053482055664,0.3060109317302704,5.249407768249512
9,0.4161073863506317,1.5460269451141357,0.3060109317302704,5.471917152404785
10,0.4147650897502899,1.5477118492126465,0.2568306028842926,5.0673298835754395
11,0.4174496531486511,1.5419491529464722,0.2568306028842926,4.823024272918701
12,0.43087247014045715,1.493844985961914,0.2568306028842926,5.595418453216553
